location_id,lat,lon,crime_score,walk_score,NatWalkInd,light_count,light_score,safety_score,safe_label
sd_5748,32.95050000000001,-116.99400000000011,0.8941806110697107,0.258928571364477,5.833333333,0,0.0,0.5118224483759746,0
sd_5749,32.95050000000001,-116.98850000000012,0.8941806110697107,0.258928571364477,5.833333333,0,0.0,0.5118224483759746,0
sd_5750,32.95050000000001,-116.98300000000012,0.8941806110697107,0.258928571364477,5.833333333,0,0.0,0.5118224483759746,0
sd_5751,32.95050000000001,-116.97750000000012,0.8941806110697107,0.258928571364477,5.833333333,0,0.0,0.5118224483759746,0
sd_5752,32.95050000000001,-116.97200000000012,0.8941806110697107,0.258928571364477,5.833333333,0,0.0,0.5118224483759746,0
sd_5753,32.95050000000001,-116.96650000000012,0.8941806110697107,0.258928571364477,5.833333333,0,0.0,0.5118224483759746,0
sd_5754,32.95050000000001,-116.96100000000013,0.8941806110697107,0.19642857141135203,4.666666667,0,0.0,0.49619744838769336,0
sd_5755,32.95050000000001,-116.95550000000013,0.8941806110697107,0.19642857141135203,4.666666667,0,0.0,0.49619744838769336,0
sd_5756,32.95050000000001,-116.95000000000013,0.8941806110697107,0.19642857141135203,4.666666667,0,0.0,0.49619744838769336,0
sd_5757,32.95050000000001,-116.94450000000013,0.8941806110697107,0.19642857141135203,4.666666667,0,0.0,0.49619744838769336,0
sd_5758,32.95050000000001,-116.93900000000014,0.8941806110697107,0.19642857141135203,4.666666667,0,0.0,0.49619744838769336,0
sd_5759,32.95050000000001,-116.93350000000014,0.8941806110697107,0.19642857141135203,4.666666667,0,0.0,0.49619744838769336,0
sd_5760,32.95500000000001,-117.28,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_5761,32.95500000000001,-117.2745,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_5762,32.95500000000001,-117.269,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
sd_5763,32.95500000000001,-117.26350000000001,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
